algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
PRIORITY_GREEDY,BASELINE,10,5,7.4,2.6,86,1.63,3.292,1.6017,0,0,0.9875,0,15.8
PURE_CP_SAT,BASELINE,10,5,7.4,2.6,82,0.984,3.012,1.1328,0,0,0.9966,0,192.2
HYBRID_PRIORITY_CP_SAT,BASELINE,10,5,7.4,2.6,82.5,0.97,2.79,1.1328,0,0,0.9961,0,184.2
PRIORITY_GREEDY,RESOURCE_MODERATE,10,5,7.4,2.6,57.334,1.63,3.292,1.6017,0,0,0.9875,0,183.4
PURE_CP_SAT,RESOURCE_MODERATE,10,5,7.4,2.6,54.664,0.984,2.79,1.1328,0,0,0.9966,0,316.6
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,10,5,7.4,2.6,54.998,0.97,2.79,1.1328,0,0,0.9961,0,304.8
PRIORITY_GREEDY,RESOURCE_TIGHT,10,5,5.4,4.6,85.714,0.974,2.044,0.9972,0,0,0.996,0,14.2
PURE_CP_SAT,RESOURCE_TIGHT,10,5,5.4,4.6,81.428,0.446,1.576,0.4565,0,0,0.9857,0,99.4
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,10,5,5.4,4.6,81.428,0.446,1.576,0.4565,0,0,0.9857,0,86
PRIORITY_GREEDY,EMERGENCY_SURGE,10,5,7.8,2.2,90.5,1.776,3.69,1.504,0,0,0.9989,0,10.8
PURE_CP_SAT,EMERGENCY_SURGE,10,5,7.8,2.2,86.5,0.958,2.768,0.97,0,0,0.9952,0,166.2
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,5,7.8,2.2,87,1.112,2.934,1.0843,0,0,0.9954,0,168.6
PRIORITY_GREEDY,BASELINE,25,5,13.4,11.6,84.63,3.962,11.48,2.5244,0,0,0.9817,0,44
PURE_CP_SAT,BASELINE,25,5,15.2,9.8,84.184,2.014,9.798,1.1691,0,0,0.9769,0,3869.8
HYBRID_PRIORITY_CP_SAT,BASELINE,25,5,15.2,9.8,84.974,2.052,10.114,1.241,0,0,0.981,0,3387
PRIORITY_GREEDY,RESOURCE_MODERATE,25,5,13.4,11.6,56.42,3.962,11.48,2.5244,0,0,0.9817,0,418.8
PURE_CP_SAT,RESOURCE_MODERATE,25,5,15.2,9.8,56.124,2.014,10.114,1.1691,0,0,0.9769,0,4117
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,25,5,15.2,9.8,56.65,2.052,9.798,1.241,0,0,0.981,0,4072.4
PRIORITY_GREEDY,RESOURCE_TIGHT,25,5,10.6,14.4,96.594,2.752,6.876,2.3698,0,0,0.9992,0,38
PURE_CP_SAT,RESOURCE_TIGHT,25,5,13,12,97.72,1.148,3.472,1.0898,0,0,0.9994,0,702.6
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,5,13,12,97.72,1.148,3.472,1.0898,0,0,0.9994,0,704.8
PRIORITY_GREEDY,EMERGENCY_SURGE,25,5,13,12,86.712,3.688,9.58,2.4398,0,0,0.9849,0,68
PURE_CP_SAT,EMERGENCY_SURGE,25,5,15.2,9.8,83.132,1.846,7.14,1.2637,0,0,0.9741,0,2578.2
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,5,15.2,9.8,83.922,1.892,7.14,1.3153,0,0,0.9783,0,2017.2
PRIORITY_GREEDY,BASELINE,50,5,24,26,79.28,8.026,24.986,2.9217,0,0,0.9489,0,179.2
PURE_CP_SAT,BASELINE,50,5,28.4,21.6,79.146,3.508,18.334,1.1978,0,0,0.9486,0,20847.2
HYBRID_PRIORITY_CP_SAT,BASELINE,50,5,28.6,21.4,79.654,3.638,20.146,1.2865,0,0,0.9506,0,20731.8
PRIORITY_GREEDY,RESOURCE_MODERATE,50,5,24,26,52.852,8.026,24.986,2.9217,0,0,0.9489,0,784.4
PURE_CP_SAT,RESOURCE_MODERATE,50,5,28.4,21.6,53.36,3.332,18.536,1.1484,0,0,0.9478,0,21356.4
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,50,5,28.8,21.2,53.712,3.49,17.946,1.3123,0,0,0.9554,0,21496.6
PRIORITY_GREEDY,RESOURCE_TIGHT,50,5,20.4,29.6,93.098,5.396,16.694,2.9217,0,0,0.9966,0,184.8
PURE_CP_SAT,RESOURCE_TIGHT,50,5,25,25,93.826,1.59,5.744,1.2985,0,0,0.9989,0,18091.8
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,50,5,25,25,95.148,1.682,5.37,1.4744,0,0,0.9986,0,14937.2
PRIORITY_GREEDY,EMERGENCY_SURGE,50,5,24,26,78.764,6.062,20.818,2.4454,0,0,0.9491,0,161.4
PURE_CP_SAT,EMERGENCY_SURGE,50,5,27.6,22.4,78.112,3.366,19.332,1.5385,0,0,0.96,0,20921.4
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,50,5,27.6,22.4,77.212,3.522,17.414,1.569,0,0,0.9607,0,20698.2
