algorithmCode,scenarioCode,caseCount,repetition,randomSeed,solverAlgorithm,solverStatus,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs,createdAt
ABLATION_NO_PRIORITY,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,72.50,0.56,2.67,0.75,0,0,0.9894,0,147,2026-08-25 02:40:45
ABLATION_NO_PRIORITY,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,87.50,1.19,2.50,1.22,0,0,0.9992,0,162,2026-08-25 02:40:46
ABLATION_NO_PRIORITY,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,82.50,0.93,2.61,1.12,0,0,0.9991,0,171,2026-08-25 02:40:46
ABLATION_NO_PRIORITY,BASELINE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,80.00,1.00,2.50,1.29,0,0,0.9961,0,258,2026-08-25 02:40:46
ABLATION_NO_PRIORITY,BASELINE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,87.50,1.24,3.67,1.28,0,0,0.9992,0,147,2026-08-25 02:40:46
ABLATION_NO_WAITING,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,77.50,1.32,3.67,1.63,0,0,0.9990,0,120,2026-08-25 02:40:47
ABLATION_NO_WAITING,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,90.00,1.26,2.67,1.22,0,0,0.9969,0,233,2026-08-25 02:40:47
ABLATION_NO_WAITING,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,85.00,1.47,3.28,1.42,0,0,0.9966,0,233,2026-08-25 02:40:48
ABLATION_NO_WAITING,BASELINE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,80.00,1.66,3.06,1.79,0,0,0.9961,0,158,2026-08-25 02:40:48
ABLATION_NO_WAITING,BASELINE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,90.00,1.65,3.06,1.38,0,0,1.0000,0,138,2026-08-25 02:40:49
ABLATION_THROUGHPUT_ONLY,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,77.50,1.32,3.67,1.63,0,0,0.9990,0,120,2026-08-25 02:40:49
ABLATION_THROUGHPUT_ONLY,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,90.00,1.26,2.67,1.22,0,0,0.9969,0,120,2026-08-25 02:40:49
ABLATION_THROUGHPUT_ONLY,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,82.50,1.65,4.00,1.62,0,0,0.9991,0,114,2026-08-25 02:40:49
ABLATION_THROUGHPUT_ONLY,BASELINE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,82.50,1.72,3.11,1.90,0,0,0.9991,0,112,2026-08-25 02:40:49
ABLATION_THROUGHPUT_ONLY,BASELINE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,90.00,1.65,3.06,1.38,0,0,1.0000,0,119,2026-08-25 02:40:49
HYBRID_PRIORITY_CP_SAT,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,72.50,0.56,2.67,0.75,0,0,0.9894,0,152,2026-08-25 02:40:44
HYBRID_PRIORITY_CP_SAT,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,90.00,1.12,2.50,1.22,0,0,0.9969,0,157,2026-08-25 02:40:44
HYBRID_PRIORITY_CP_SAT,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,82.50,0.93,2.61,1.12,0,0,0.9991,0,172,2026-08-25 02:40:45
HYBRID_PRIORITY_CP_SAT,BASELINE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,80.00,1.00,3.61,1.29,0,0,0.9961,0,209,2026-08-25 02:40:45
HYBRID_PRIORITY_CP_SAT,BASELINE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,87.50,1.24,3.67,1.28,0,0,0.9992,0,193,2026-08-25 02:40:45
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,7,3,90.00,0.83,2.06,0.60,0,0,0.9878,0,168,2026-08-25 02:41:02
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,82.50,0.81,2.50,0.94,0,0,0.9991,0,161,2026-08-25 02:41:02
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,82.50,0.88,2.61,0.86,0,0,0.9991,0,153,2026-08-25 02:41:02
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,4,45,CP_SAT_V1,OPTIMAL,8,2,92.50,1.12,3.00,1.19,0,0,0.9935,0,142,2026-08-25 02:41:02
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,85.00,1.15,3.67,1.25,0,0,0.9966,0,243,2026-08-25 02:41:03
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,7,3,95.00,1.83,3.72,1.44,0,0,1.0000,0,140,2026-08-25 02:41:03
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,82.50,1.56,3.50,1.31,0,0,0.9991,0,143,2026-08-25 02:41:03
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,85.00,1.62,3.28,1.38,0,0,0.9966,0,136,2026-08-25 02:41:03
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,4,45,CP_SAT_V1,OPTIMAL,8,2,97.50,1.81,3.78,1.52,0,0,0.9993,0,118,2026-08-25 02:41:03
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,87.50,1.58,3.06,1.42,0,0,0.9992,0,115,2026-08-25 02:41:04
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,7,3,95.00,2.07,3.67,1.89,0,0,1.0000,0,117,2026-08-25 02:41:04
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,82.50,1.56,3.50,1.31,0,0,0.9991,0,141,2026-08-25 02:41:04
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,85.00,1.62,3.28,1.38,0,0,0.9966,0,121,2026-08-25 02:41:04
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,4,45,CP_SAT_V1,OPTIMAL,8,2,92.50,1.72,3.50,1.52,0,0,0.9935,0,125,2026-08-25 02:41:04
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,92.50,1.82,4.22,1.42,0,0,0.9993,0,110,2026-08-25 02:41:04
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,7,3,90.00,0.83,2.06,0.60,0,0,0.9878,0,144,2026-08-25 02:41:01
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,87.50,1.09,2.50,1.10,0,0,0.9992,0,153,2026-08-25 02:41:01
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,80.00,1.09,2.61,1.10,0,0,1.0000,0,141,2026-08-25 02:41:01
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,4,45,CP_SAT_V1,OPTIMAL,8,2,92.50,1.40,3.00,1.38,0,0,0.9935,0,136,2026-08-25 02:41:01
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,85.00,1.15,3.67,1.25,0,0,0.9966,0,162,2026-08-25 02:41:01
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,48.33,0.56,2.67,0.75,0,0,0.9894,0,282,2026-08-25 02:40:52
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,58.33,1.19,2.50,1.22,0,0,0.9992,0,332,2026-08-25 02:40:52
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,55.00,0.93,2.61,1.12,0,0,0.9991,0,336,2026-08-25 02:40:53
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,53.33,1.00,2.50,1.29,0,0,0.9961,0,351,2026-08-25 02:40:53
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,58.33,1.24,3.67,1.28,0,0,0.9992,0,317,2026-08-25 02:40:53
ABLATION_NO_WAITING,RESOURCE_MODERATE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,56.67,1.63,3.67,2.08,0,0,0.9863,0,267,2026-08-25 02:40:54
ABLATION_NO_WAITING,RESOURCE_MODERATE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,60.00,1.32,3.17,1.22,0,0,0.9969,0,273,2026-08-25 02:40:54
ABLATION_NO_WAITING,RESOURCE_MODERATE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,55.00,1.65,4.00,1.62,0,0,0.9991,0,253,2026-08-25 02:40:54
ABLATION_NO_WAITING,RESOURCE_MODERATE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,60.00,1.71,3.78,1.69,0,0,0.9969,0,281,2026-08-25 02:40:55
ABLATION_NO_WAITING,RESOURCE_MODERATE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,58.33,1.43,3.06,1.38,0,0,0.9992,0,294,2026-08-25 02:40:55
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,56.67,1.63,3.67,2.08,0,0,0.9863,0,238,2026-08-25 02:40:55
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,60.00,1.32,3.17,1.22,0,0,0.9969,0,252,2026-08-25 02:40:56
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,55.00,1.65,4.00,1.62,0,0,0.9991,0,257,2026-08-25 02:40:56
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,58.33,1.51,3.78,1.35,0,0,0.9927,0,283,2026-08-25 02:40:56
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,58.33,1.43,3.06,1.38,0,0,0.9992,0,285,2026-08-25 02:40:57
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,10,1,42,CP_SAT_V1,OPTIMAL,6,4,48.33,0.56,2.67,0.75,0,0,0.9894,0,288,2026-08-25 02:40:50
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,10,2,43,CP_SAT_V1,OPTIMAL,8,2,60.00,1.12,2.50,1.22,0,0,0.9969,0,420,2026-08-25 02:40:50
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,10,3,44,CP_SAT_V1,OPTIMAL,8,2,55.00,0.93,2.61,1.12,0,0,0.9991,0,319,2026-08-25 02:40:51
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,10,4,45,CP_SAT_V1,OPTIMAL,7,3,53.33,1.00,2.50,1.29,0,0,0.9961,0,347,2026-08-25 02:40:51
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,10,5,46,CP_SAT_V1,OPTIMAL,8,2,58.33,1.24,3.67,1.28,0,0,0.9992,0,329,2026-08-25 02:40:51
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,10,1,42,CP_SAT_V1,OPTIMAL,5,5,82.14,0.72,2.83,0.11,0,0,0.9981,0,70,2026-08-25 02:40:58
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,10,2,43,CP_SAT_V1,OPTIMAL,5,5,82.14,0.19,0.44,0.26,0,0,0.9549,0,86,2026-08-25 02:40:58
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,10,3,44,CP_SAT_V1,OPTIMAL,6,4,75.00,0.51,1.72,0.75,0,0,0.9977,0,87,2026-08-25 02:40:58
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,10,4,45,CP_SAT_V1,OPTIMAL,5,5,78.57,0.47,1.83,0.76,0,0,0.9918,0,80,2026-08-25 02:40:58
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,10,5,46,CP_SAT_V1,OPTIMAL,6,4,89.29,0.34,1.06,0.40,0,0,0.9858,0,142,2026-08-25 02:40:58
ABLATION_NO_WAITING,RESOURCE_TIGHT,10,1,42,CP_SAT_V1,OPTIMAL,5,5,92.86,1.59,3.28,1.56,0,0,0.9941,0,139,2026-08-25 02:40:59
ABLATION_NO_WAITING,RESOURCE_TIGHT,10,2,43,CP_SAT_V1,OPTIMAL,5,5,85.71,0.33,0.72,0.50,0,0,0.9730,0,125,2026-08-25 02:40:59
ABLATION_NO_WAITING,RESOURCE_TIGHT,10,3,44,CP_SAT_V1,OPTIMAL,6,4,78.57,0.73,1.72,0.75,0,0,1.0000,0,87,2026-08-25 02:40:59
ABLATION_NO_WAITING,RESOURCE_TIGHT,10,4,45,CP_SAT_V1,OPTIMAL,5,5,85.71,1.18,2.22,1.50,0,0,1.0000,0,85,2026-08-25 02:41:00
