algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
HYBRID_PRIORITY_CP_SAT,BASELINE,10,5,7.4,2.6,82.5,0.97,3.012,1.1328,0,0,0.9961,0,176.6
ABLATION_NO_PRIORITY,BASELINE,10,5,7.4,2.6,82,0.984,2.79,1.1328,0,0,0.9966,0,177
ABLATION_NO_WAITING,BASELINE,10,5,7.4,2.6,84.5,1.472,3.148,1.4878,0,0,0.9977,0,176.4
ABLATION_THROUGHPUT_ONLY,BASELINE,10,5,7.4,2.6,84.5,1.52,3.302,1.55,0,0,0.9988,0,117
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,10,5,7.4,2.6,54.998,0.97,2.79,1.1328,0,0,0.9961,0,340.6
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,10,5,7.4,2.6,54.664,0.984,2.79,1.1328,0,0,0.9966,0,323.6
ABLATION_NO_WAITING,RESOURCE_MODERATE,10,5,7.4,2.6,58,1.548,3.536,1.6,0,0,0.9957,0,273.6
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,10,5,7.4,2.6,57.666,1.508,3.536,1.5306,0,0,0.9948,0,263
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,10,5,5.4,4.6,81.428,0.446,1.576,0.4565,0,0,0.9857,0,69
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,10,5,5.4,4.6,81.428,0.446,1.576,0.4565,0,0,0.9857,0,93
ABLATION_NO_WAITING,RESOURCE_TIGHT,10,5,5.4,4.6,87.142,0.928,1.932,0.9972,0,0,0.9922,0,103
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,10,5,5.4,4.6,85.714,0.844,1.954,0.8491,0,0,0.996,0,78.6
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,5,7.8,2.2,87,1.112,2.768,1.0843,0,0,0.9954,0,147.2
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,5,7.8,2.2,86.5,0.958,2.768,0.97,0,0,0.9952,0,173.4
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,5,7.8,2.2,89.5,1.68,3.468,1.4151,0,0,0.9988,0,130.4
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,5,7.8,2.2,89.5,1.758,3.634,1.504,0,0,0.9977,0,122.8
HYBRID_PRIORITY_CP_SAT,BASELINE,25,5,15.2,9.8,84.974,2.052,9.798,1.241,0,0,0.981,0,2805.8
ABLATION_NO_PRIORITY,BASELINE,25,5,15.2,9.8,84.184,2.014,9.798,1.1691,0,0,0.9769,0,3477.4
ABLATION_NO_WAITING,BASELINE,25,5,15.2,9.8,83.658,2.58,9.754,1.5909,0,0,0.9807,0,1223.6
ABLATION_THROUGHPUT_ONLY,BASELINE,25,5,15.2,9.8,83.658,2.832,12.456,1.6698,0,0,0.9783,0,1174
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,25,5,15.2,9.8,56.65,2.052,9.798,1.241,0,0,0.981,0,3998.2
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,25,5,15.2,9.8,56.124,2.014,10.114,1.1691,0,0,0.9769,0,3490
ABLATION_NO_WAITING,RESOURCE_MODERATE,25,5,15.2,9.8,55.948,2.576,9.464,1.5711,0,0,0.9818,0,1604.2
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,25,5,15.2,9.8,55.774,2.81,11.788,1.8127,0,0,0.9783,0,1608.4
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,5,13,12,97.72,1.148,3.472,1.0898,0,0,0.9994,0,663.8
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,25,5,13,12,97.72,1.148,3.472,1.0898,0,0,0.9994,0,753.8
ABLATION_NO_WAITING,RESOURCE_TIGHT,25,5,13,12,95.796,1.394,4.158,1.1799,0,0,0.9994,0,530.6
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,25,5,13,12,95.796,1.396,4.792,1.1601,0,0,0.9994,0,481.2
