algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,2,23,15,0,0,0,0,0,0.9,0,34.6667
ABLATION_NO_PRIORITY,BASELINE,25,3,2,23,15,0,0,0,0,0,0.9,0,38
ABLATION_NO_WAITING,BASELINE,25,3,2,23,15,3,5.6667,0.3333,0,0,0.9,0,38.3333
ABLATION_THROUGHPUT_ONLY,BASELINE,25,3,2,23,15,4.5,8,1,0,0,0.9,0,39
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,25,3,2,23,10,0,0,0,0,0,0.9,0,205.3333
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,25,3,2,23,10,0,0,0,0,0,0.9,0,214
ABLATION_NO_WAITING,RESOURCE_MODERATE,25,3,2,23,10,3.1667,5.6667,0.6667,0,0,0.9,0,212
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,25,3,2,23,10,1.75,3.1667,0.3333,0,0,0.9,0,174
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,3,2,23,21.43,0,0,0,0,0,0.9,0,26.3333
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,25,3,2,23,21.43,0,0,0,0,0,0.9,0,29.3333
ABLATION_NO_WAITING,RESOURCE_TIGHT,25,3,2,23,21.43,1.25,2.1667,0.6667,0,0,0.9,0,23.3333
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,25,3,2,23,21.43,0.0833,0.1667,0,0,0,0.9,0,29.3333
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,3,6,19,55,1.58,4,1.5833,0,0,0.968,0,115.3333
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,3,6,19,55,1.58,4,1.5833,0,0,0.968,0,111.3333
ABLATION_NO_WAITING,EMERGENCY_SURGE,25,3,6,19,57.5,1.83,4,1.8333,0,0,0.9781,0,96.3333
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,25,3,6,19,57.5,1.83,4,1.8333,0,0,0.9781,0,95.6667
HYBRID_PRIORITY_CP_SAT,BASELINE,50,3,2,48,15,0,0,0,0,0,0.9,0,30.3333
ABLATION_NO_PRIORITY,BASELINE,50,3,2,48,15,0,0,0,0,0,0.9,0,38.3333
ABLATION_NO_WAITING,BASELINE,50,3,2,48,15,1.75,3.1667,0.3333,0,0,0.9,0,27
ABLATION_THROUGHPUT_ONLY,BASELINE,50,3,2,48,15,3.1667,5.6667,0.6667,0,0,0.9,0,32.6667
HYBRID_PRIORITY_CP_SAT,RESOURCE_MODERATE,50,3,2,48,10,0,0,0,0,0,0.9,0,185.3333
ABLATION_NO_PRIORITY,RESOURCE_MODERATE,50,3,2,48,10,0,0,0,0,0,0.9,0,196
ABLATION_NO_WAITING,RESOURCE_MODERATE,50,3,2,48,10,0.6667,1,0.3333,0,0,0.9,0,184
ABLATION_THROUGHPUT_ONLY,RESOURCE_MODERATE,50,3,2,48,10,4.5,8,1,0,0,0.9,0,192.3333
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,50,3,2,48,21.43,0,0,0,0,0,0.9,0,33
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,50,3,2,48,21.43,0,0,0,0,0,0.9,0,26.6667
ABLATION_NO_WAITING,RESOURCE_TIGHT,50,3,2,48,21.43,1.0833,1.8333,0.3333,0,0,0.9,0,26
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,50,3,2,48,21.43,1.0833,1.8333,0.3333,0,0,0.9,0,29.6667
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,50,3,6,44,53.3333,1.58,4,1.5833,0,0,0.9967,0,227.6667
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,50,3,6,44,50,1.58,4,1.5833,0,0,0.9901,0,238
ABLATION_NO_WAITING,EMERGENCY_SURGE,50,3,6,44,51.6667,1.8867,4,1.8889,0,0,0.9952,0,194
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,50,3,6,44,50.8333,1.7467,4,1.75,0,0,0.9926,0,201.3333
HYBRID_PRIORITY_CP_SAT,BASELINE,100,3,2,98,15,0,0,0,0,0,0.9,0,27.6667
