algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,2,23,15,0,0,0,0,0,0.9,0,27
ABLATION_NO_PRIORITY,BASELINE,25,3,2,23,15,0,0,0,0,0,0.9,0,31
ABLATION_NO_WAITING,BASELINE,25,3,2,23,15,3.25,5.8333,0.6667,0,0,0.9,0,36.6667
ABLATION_THROUGHPUT_ONLY,BASELINE,25,3,2,23,15,3.0833,5.5,0.6667,0,0,0.9,0,27.3333
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,3,2,23,21.43,0,0,0,0,0,0.9,0,28
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,25,3,2,23,21.43,0,0,0,0,0,0.9,0,27.6667
ABLATION_NO_WAITING,RESOURCE_TIGHT,25,3,2,23,21.43,1,1.6667,0.3333,0,0,0.9,0,34
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,25,3,2,23,21.43,0.25,0.5,0.3333,0,0,0.9,0,28.6667
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,3,6,19,55,1.58,4,1.5833,0,0,0.968,0,110.6667
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,3,6,19,55,1.58,4,1.5833,0,0,0.968,0,106.3333
ABLATION_NO_WAITING,EMERGENCY_SURGE,25,3,6,19,59.1667,1.9433,4,1.9444,0,0,0.9865,0,97.3333
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,25,3,6,19,57.5,1.83,4,1.8333,0,0,0.9781,0,107
HYBRID_PRIORITY_CP_SAT,BASELINE,50,3,2,48,15,0,0,0,0,0,0.9,0,31
ABLATION_NO_PRIORITY,BASELINE,50,3,2,48,15,0,0,0,0,0,0.9,0,34.3333
ABLATION_NO_WAITING,BASELINE,50,3,2,48,15,0.6667,1,0.3333,0,0,0.9,0,26
ABLATION_THROUGHPUT_ONLY,BASELINE,50,3,2,48,15,1.9167,3.5,0.3333,0,0,0.9,0,34
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,50,3,2,48,21.43,0,0,0,0,0,0.9,0,29.3333
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,50,3,2,48,21.43,0,0,0,0,0,0.9,0,29.3333
ABLATION_NO_WAITING,RESOURCE_TIGHT,50,3,2,48,21.43,1.25,2.1667,0.6667,0,0,0.9,0,29.6667
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,50,3,2,48,21.43,2,3.3333,0.6667,0,0,0.9,0,32
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,50,3,6,44,51.6667,1.58,4,1.5833,0,0,0.9934,0,252
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,50,3,6,44,50,1.58,4,1.5833,0,0,0.9901,0,236.3333
ABLATION_NO_WAITING,EMERGENCY_SURGE,50,3,6,44,51.6667,1.8867,4,1.8889,0,0,0.9952,0,211
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,50,3,6,44,50.8333,1.7467,4,1.75,0,0,0.9926,0,199.3333
HYBRID_PRIORITY_CP_SAT,BASELINE,100,3,2,98,15,0,0,0,0,0,0.9,0,36.3333
ABLATION_NO_PRIORITY,BASELINE,100,3,2,98,15,0,0,0,0,0,0.9,0,34.3333
ABLATION_NO_WAITING,BASELINE,100,3,2,98,15,2.0833,3.5,0.6667,0,0,0.9,0,35.6667
ABLATION_THROUGHPUT_ONLY,BASELINE,100,3,2,98,15,0.6667,1,0.3333,0,0,0.9,0,34
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,100,3,2,98,21.43,0,0,0,0,0,0.9,0,29.6667
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,100,3,2,98,21.43,0,0,0,0,0,0.9,0,31.3333
ABLATION_NO_WAITING,RESOURCE_TIGHT,100,3,2,98,21.43,1.25,2.1667,0.6667,0,0,0.9,0,32
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,100,3,2,98,21.43,0.25,0.5,0.3333,0,0,0.9,0,28
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,100,3,7,93,52.5,1.71,4,1.7143,0,0,0.98,0,755.3333
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,100,3,7,93,52.5,1.71,4,1.7143,0,0,0.98,0,860.6667
ABLATION_NO_WAITING,EMERGENCY_SURGE,100,3,7,93,54.1667,1.71,4,1.7143,0,0,0.9716,0,634.3333
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,100,3,7,93,54.1667,1.71,4,1.7143,0,0,0.9716,0,631
