algorithmCode,scenarioCode,caseCount,repetition,randomSeed,solverAlgorithm,solverStatus,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs,createdAt
ABLATION_NO_PRIORITY,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,25,2026-08-21 23:42:42
ABLATION_NO_PRIORITY,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,38,2026-08-21 23:42:42
ABLATION_NO_PRIORITY,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,30,2026-08-21 23:42:42
ABLATION_NO_WAITING,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,4.00,8.00,0.00,0,0,0.9000,0,36,2026-08-21 23:42:42
ABLATION_NO_WAITING,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,4.50,8.00,1.00,0,0,0.9000,0,46,2026-08-21 23:42:43
ABLATION_NO_WAITING,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,1.25,1.50,1.00,0,0,0.9000,0,28,2026-08-21 23:42:43
ABLATION_THROUGHPUT_ONLY,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,0.25,0.50,0.00,0,0,0.9000,0,27,2026-08-21 23:42:44
ABLATION_THROUGHPUT_ONLY,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,4.50,8.00,1.00,0,0,0.9000,0,31,2026-08-21 23:42:44
ABLATION_THROUGHPUT_ONLY,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,4.50,8.00,1.00,0,0,0.9000,0,24,2026-08-21 23:42:44
HYBRID_PRIORITY_CP_SAT,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,27,2026-08-21 23:42:42
HYBRID_PRIORITY_CP_SAT,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,25,2026-08-21 23:42:42
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,29,2026-08-21 23:42:42
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,1,42,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,116,2026-08-21 23:42:45
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,2,43,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,110,2026-08-21 23:42:46
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,25,3,44,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,93,2026-08-21 23:42:46
ABLATION_NO_WAITING,EMERGENCY_SURGE,25,1,42,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,114,2026-08-21 23:42:46
ABLATION_NO_WAITING,EMERGENCY_SURGE,25,2,43,CP_SAT_V1,OPTIMAL,6,19,60.00,1.92,4.00,1.92,0,0,0.9931,0,92,2026-08-21 23:42:46
ABLATION_NO_WAITING,EMERGENCY_SURGE,25,3,44,CP_SAT_V1,OPTIMAL,6,19,62.50,2.33,4.00,2.33,0,0,0.9984,0,86,2026-08-21 23:42:46
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,25,1,42,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,106,2026-08-21 23:42:46
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,25,2,43,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,119,2026-08-21 23:42:47
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,25,3,44,CP_SAT_V1,OPTIMAL,6,19,62.50,2.33,4.00,2.33,0,0,0.9984,0,96,2026-08-21 23:42:47
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,1,42,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,113,2026-08-21 23:42:45
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,2,43,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,99,2026-08-21 23:42:45
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,3,44,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,120,2026-08-21 23:42:45
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,25,1,42,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,27,2026-08-21 23:42:44
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,25,2,43,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,27,2026-08-21 23:42:44
ABLATION_NO_PRIORITY,RESOURCE_TIGHT,25,3,44,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,29,2026-08-21 23:42:44
ABLATION_NO_WAITING,RESOURCE_TIGHT,25,1,42,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,36,2026-08-21 23:42:44
ABLATION_NO_WAITING,RESOURCE_TIGHT,25,2,43,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,38,2026-08-21 23:42:44
ABLATION_NO_WAITING,RESOURCE_TIGHT,25,3,44,CP_SAT_V1,OPTIMAL,2,23,21.43,3.00,5.00,1.00,0,0,0.9000,0,28,2026-08-21 23:42:45
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,25,1,42,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,33,2026-08-21 23:42:45
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,25,2,43,CP_SAT_V1,OPTIMAL,2,23,21.43,0.25,0.50,0.00,0,0,0.9000,0,20,2026-08-21 23:42:45
ABLATION_THROUGHPUT_ONLY,RESOURCE_TIGHT,25,3,44,CP_SAT_V1,OPTIMAL,2,23,21.43,0.50,1.00,1.00,0,0,0.9000,0,33,2026-08-21 23:42:45
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,1,42,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,28,2026-08-21 23:42:44
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,2,43,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,21,2026-08-21 23:42:44
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,3,44,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,35,2026-08-21 23:42:44
ABLATION_NO_PRIORITY,BASELINE,50,1,42,CP_SAT_V1,OPTIMAL,2,48,15.00,0.00,0.00,0.00,0,0,0.9000,0,36,2026-08-21 23:42:48
ABLATION_NO_PRIORITY,BASELINE,50,2,43,CP_SAT_V1,OPTIMAL,2,48,15.00,0.00,0.00,0.00,0,0,0.9000,0,26,2026-08-21 23:42:48
ABLATION_NO_PRIORITY,BASELINE,50,3,44,CP_SAT_V1,OPTIMAL,2,48,15.00,0.00,0.00,0.00,0,0,0.9000,0,41,2026-08-21 23:42:48
ABLATION_NO_WAITING,BASELINE,50,1,42,CP_SAT_V1,OPTIMAL,2,48,15.00,0.25,0.50,0.00,0,0,0.9000,0,28,2026-08-21 23:42:48
ABLATION_NO_WAITING,BASELINE,50,2,43,CP_SAT_V1,OPTIMAL,2,48,15.00,0.50,1.00,0.00,0,0,0.9000,0,26,2026-08-21 23:42:48
ABLATION_NO_WAITING,BASELINE,50,3,44,CP_SAT_V1,OPTIMAL,2,48,15.00,1.25,1.50,1.00,0,0,0.9000,0,24,2026-08-21 23:42:48
ABLATION_THROUGHPUT_ONLY,BASELINE,50,1,42,CP_SAT_V1,OPTIMAL,2,48,15.00,4.00,8.00,0.00,0,0,0.9000,0,39,2026-08-21 23:42:48
ABLATION_THROUGHPUT_ONLY,BASELINE,50,2,43,CP_SAT_V1,OPTIMAL,2,48,15.00,0.50,1.00,0.00,0,0,0.9000,0,37,2026-08-21 23:42:49
ABLATION_THROUGHPUT_ONLY,BASELINE,50,3,44,CP_SAT_V1,OPTIMAL,2,48,15.00,1.25,1.50,1.00,0,0,0.9000,0,26,2026-08-21 23:42:49
HYBRID_PRIORITY_CP_SAT,BASELINE,50,1,42,CP_SAT_V1,OPTIMAL,2,48,15.00,0.00,0.00,0.00,0,0,0.9000,0,31,2026-08-21 23:42:48
HYBRID_PRIORITY_CP_SAT,BASELINE,50,2,43,CP_SAT_V1,OPTIMAL,2,48,15.00,0.00,0.00,0.00,0,0,0.9000,0,28,2026-08-21 23:42:48
HYBRID_PRIORITY_CP_SAT,BASELINE,50,3,44,CP_SAT_V1,OPTIMAL,2,48,15.00,0.00,0.00,0.00,0,0,0.9000,0,34,2026-08-21 23:42:48
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,50,1,42,CP_SAT_V1,OPTIMAL,6,44,50.00,1.58,4.00,1.58,0,0,0.9901,0,235,2026-08-21 23:42:52
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,50,2,43,CP_SAT_V1,OPTIMAL,6,44,50.00,1.58,4.00,1.58,0,0,0.9901,0,259,2026-08-21 23:42:52
