algorithmCode,scenarioCode,caseCount,repetition,randomSeed,solverAlgorithm,solverStatus,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs,createdAt
HYBRID_PRIORITY_CP_SAT,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,34,2026-08-21 23:42:16
HYBRID_PRIORITY_CP_SAT,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,30,2026-08-21 23:42:16
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,37,2026-08-21 23:42:16
PRIORITY_GREEDY,BASELINE,25,1,42,PRIORITY_GREEDY_V1,FEASIBLE,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,1,2026-08-21 23:42:16
PRIORITY_GREEDY,BASELINE,25,2,43,PRIORITY_GREEDY_V1,FEASIBLE,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,3,2026-08-21 23:42:16
PRIORITY_GREEDY,BASELINE,25,3,44,PRIORITY_GREEDY_V1,FEASIBLE,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,1,2026-08-21 23:42:16
PURE_CP_SAT,BASELINE,25,1,42,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,38,2026-08-21 23:42:16
PURE_CP_SAT,BASELINE,25,2,43,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,41,2026-08-21 23:42:16
PURE_CP_SAT,BASELINE,25,3,44,CP_SAT_V1,OPTIMAL,2,23,15.00,0.00,0.00,0.00,0,0,0.9000,0,40,2026-08-21 23:42:16
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,1,42,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,103,2026-08-21 23:42:19
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,2,43,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,103,2026-08-21 23:42:19
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,3,44,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,96,2026-08-21 23:42:19
PRIORITY_GREEDY,EMERGENCY_SURGE,25,1,42,PRIORITY_GREEDY_V1,FEASIBLE,5,20,62.50,1.80,4.00,1.80,0,0,0.9858,0,6,2026-08-21 23:42:18
PRIORITY_GREEDY,EMERGENCY_SURGE,25,2,43,PRIORITY_GREEDY_V1,FEASIBLE,5,20,62.50,1.80,4.00,1.80,0,0,0.9858,0,3,2026-08-21 23:42:18
PRIORITY_GREEDY,EMERGENCY_SURGE,25,3,44,PRIORITY_GREEDY_V1,FEASIBLE,5,20,62.50,1.80,4.00,1.80,0,0,0.9858,0,5,2026-08-21 23:42:18
PURE_CP_SAT,EMERGENCY_SURGE,25,1,42,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,104,2026-08-21 23:42:18
PURE_CP_SAT,EMERGENCY_SURGE,25,2,43,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,101,2026-08-21 23:42:18
PURE_CP_SAT,EMERGENCY_SURGE,25,3,44,CP_SAT_V1,OPTIMAL,6,19,55.00,1.58,4.00,1.58,0,0,0.9680,0,114,2026-08-21 23:42:18
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,1,42,CP_SAT_V1,OPTIMAL,2,23,21.43,0.00,0.00,0.00,0,0,0.9000,0,25,2026-08-21 23:42:17
