algorithmCode,scenarioCode,caseCount,repetition,randomSeed,solverAlgorithm,solverStatus,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs,createdAt
HYBRID_PRIORITY_CP_SAT,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,62,2026-08-21 23:06:55
HYBRID_PRIORITY_CP_SAT,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,62,2026-08-21 23:06:55
HYBRID_PRIORITY_CP_SAT,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,77,2026-08-21 23:06:55
PRIORITY_GREEDY,BASELINE,10,1,42,PRIORITY_GREEDY_V1,FEASIBLE,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,2,2026-08-21 23:06:54
PRIORITY_GREEDY,BASELINE,10,2,43,PRIORITY_GREEDY_V1,FEASIBLE,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,3,2026-08-21 23:06:54
PRIORITY_GREEDY,BASELINE,10,3,44,PRIORITY_GREEDY_V1,FEASIBLE,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,3,2026-08-21 23:06:54
PURE_CP_SAT,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,50.00,18.56,64.75,0.00,0,0,0.6711,0,75,2026-08-21 23:06:54
PURE_CP_SAT,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,50.00,18.56,64.75,0.00,0,0,0.6711,0,74,2026-08-21 23:06:55
PURE_CP_SAT,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,50.00,18.56,64.75,0.00,0,0,0.6711,0,59,2026-08-21 23:06:55
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,55.00,18.44,71.25,0.83,0,0,0.6541,0,78,2026-08-21 23:06:57
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,55.00,18.44,71.25,0.83,0,0,0.6541,0,46,2026-08-21 23:06:57
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,55.00,18.44,71.25,0.83,0,0,0.6541,0,49,2026-08-21 23:06:57
PRIORITY_GREEDY,EMERGENCY_SURGE,10,1,42,PRIORITY_GREEDY_V1,FEASIBLE,4,6,55.00,2.62,7.00,1.17,0,0,0.6541,0,2,2026-08-21 23:06:57
PRIORITY_GREEDY,EMERGENCY_SURGE,10,2,43,PRIORITY_GREEDY_V1,FEASIBLE,4,6,55.00,2.62,7.00,1.17,0,0,0.6541,0,3,2026-08-21 23:06:57
PRIORITY_GREEDY,EMERGENCY_SURGE,10,3,44,PRIORITY_GREEDY_V1,FEASIBLE,4,6,55.00,2.62,7.00,1.17,0,0,0.6541,0,2,2026-08-21 23:06:57
PURE_CP_SAT,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,50.00,2.12,6.00,0.83,0,0,0.6711,0,66,2026-08-21 23:06:57
PURE_CP_SAT,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,50.00,2.12,6.00,0.83,0,0,0.6711,0,45,2026-08-21 23:06:57
PURE_CP_SAT,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,50.00,2.12,6.00,0.83,0,0,0.6711,0,59,2026-08-21 23:06:57
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,10,1,42,CP_SAT_V1,OPTIMAL,3,7,60.71,44.67,68.75,0.00,0,0,0.7049,0,36,2026-08-21 23:06:56
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,10,2,43,CP_SAT_V1,OPTIMAL,3,7,60.71,44.67,68.75,0.00,0,0,0.7049,0,39,2026-08-21 23:06:56
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,10,3,44,CP_SAT_V1,OPTIMAL,3,7,60.71,44.67,68.75,0.00,0,0,0.7049,0,44,2026-08-21 23:06:57
PRIORITY_GREEDY,RESOURCE_TIGHT,10,1,42,PRIORITY_GREEDY_V1,FEASIBLE,3,7,60.71,44.67,68.75,0.00,0,0,0.7049,0,3,2026-08-21 23:06:55
PRIORITY_GREEDY,RESOURCE_TIGHT,10,2,43,PRIORITY_GREEDY_V1,FEASIBLE,3,7,60.71,44.67,68.75,0.00,0,0,0.7049,0,3,2026-08-21 23:06:55
PRIORITY_GREEDY,RESOURCE_TIGHT,10,3,44,PRIORITY_GREEDY_V1,FEASIBLE,3,7,60.71,44.67,68.75,0.00,0,0,0.7049,0,3,2026-08-21 23:06:55
PURE_CP_SAT,RESOURCE_TIGHT,10,1,42,CP_SAT_V1,OPTIMAL,3,7,46.43,0.83,2.50,0.00,0,0,0.7752,0,157,2026-08-21 23:06:55
