algorithmCode,scenarioCode,caseCount,repetitions,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs
PRIORITY_GREEDY,BASELINE,10,3,4,6,55,35.25,68.75,0,0,0,0.6541,0,2.6667
PURE_CP_SAT,BASELINE,10,3,4,6,50,18.56,64.75,0,0,0,0.6711,0,69.3333
HYBRID_PRIORITY_CP_SAT,BASELINE,10,3,4,6,55,35.25,68.75,0,0,0,0.6541,0,67
PRIORITY_GREEDY,RESOURCE_TIGHT,10,3,3,7,60.71,44.67,68.75,0,0,0,0.7049,0,3
PURE_CP_SAT,RESOURCE_TIGHT,10,3,3,7,46.43,0.83,2.5,0,0,0,0.7752,0,79
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,10,3,3,7,60.71,44.67,68.75,0,0,0,0.7049,0,39.6667
PRIORITY_GREEDY,EMERGENCY_SURGE,10,3,4,6,55,2.62,7,1.1667,0,0,0.6541,0,2.3333
PURE_CP_SAT,EMERGENCY_SURGE,10,3,4,6,50,2.12,6,0.8333,0,0,0.6711,0,56.6667
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,10,3,4,6,55,18.44,71.25,0.8333,0,0,0.6541,0,57.6667
PRIORITY_GREEDY,BASELINE,25,3,6,19,70,24.25,68.75,1.5,0,0,0.8869,0,6.3333
PURE_CP_SAT,BASELINE,25,3,7,18,72.5,2.79,7.5,1.5,0,0,0.8742,0,162.6667
HYBRID_PRIORITY_CP_SAT,BASELINE,25,3,7,18,72.5,2.79,7.5,1.5,0,0,0.8742,0,163
PRIORITY_GREEDY,RESOURCE_TIGHT,25,3,5,20,82.14,27.7,68.75,1.5,0,0,0.9549,0,6.3333
PURE_CP_SAT,RESOURCE_TIGHT,25,3,5,20,67.86,1.4,3,1.5,0,0,0.9972,0,102
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,25,3,5,20,82.14,27.7,68.75,1.5,0,0,0.9549,0,106.3333
PRIORITY_GREEDY,EMERGENCY_SURGE,25,3,6,19,75,2.67,7,1.8,0,0,0.9336,0,13.3333
PURE_CP_SAT,EMERGENCY_SURGE,25,3,7,18,72.5,2.79,7.5,1.125,0,0,0.8742,0,351.6667
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,25,3,7,18,77.5,2.79,7.5,1.125,0,0,0.9223,0,388
PRIORITY_GREEDY,BASELINE,50,3,6,44,70,24.25,68.75,1.5,0,0,0.8869,0,27
PURE_CP_SAT,BASELINE,50,3,7,43,72.5,2.79,7.5,1.5,0,0,0.8742,0,406.3333
HYBRID_PRIORITY_CP_SAT,BASELINE,50,3,7,43,72.5,2.79,7.5,1.5,0,0,0.8742,0,429
PRIORITY_GREEDY,RESOURCE_TIGHT,50,3,5,45,82.14,27.7,68.75,1.5,0,0,0.9549,0,24.6667
PURE_CP_SAT,RESOURCE_TIGHT,50,3,5,45,67.86,1.4,3,1.5,0,0,0.9972,0,293.3333
HYBRID_PRIORITY_CP_SAT,RESOURCE_TIGHT,50,3,5,45,82.14,27.7,68.75,1.5,0,0,0.9549,0,268
PRIORITY_GREEDY,EMERGENCY_SURGE,50,3,6,44,75,2.5,7,1.6,0,0,0.9336,0,20.3333
PURE_CP_SAT,EMERGENCY_SURGE,50,3,7,43,72.5,2.79,7.5,1.5,0,0,0.8742,0,592.6667
HYBRID_PRIORITY_CP_SAT,EMERGENCY_SURGE,50,3,7,43,74.1667,2.79,7.5,1.4,0,0,0.8902,0,625.3333
