algorithmCode,scenarioCode,caseCount,repetition,randomSeed,solverAlgorithm,solverStatus,scheduledCases,unscheduledCases,theatreUtilisationPercent,averageWaitingHours,maxWaitingHours,emergencyAverageWaitingHours,conflictCount,hardConstraintViolations,jainFairnessIndex,continuityMovedCases,runtimeMs,createdAt
ABLATION_NO_PRIORITY,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,50.00,18.56,64.75,0.00,0,0,0.6711,0,64,2026-08-21 23:07:22
ABLATION_NO_PRIORITY,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,50.00,18.56,64.75,0.00,0,0,0.6711,0,61,2026-08-21 23:07:22
ABLATION_NO_PRIORITY,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,50.00,18.56,64.75,0.00,0,0,0.6711,0,46,2026-08-21 23:07:23
ABLATION_NO_WAITING,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,55.00,34.88,71.75,0.00,0,0,0.6541,0,58,2026-08-21 23:07:23
ABLATION_NO_WAITING,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,55.00,36.00,71.75,3.50,0,0,0.6541,0,61,2026-08-21 23:07:23
ABLATION_NO_WAITING,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,55.00,34.88,71.75,0.00,0,0,0.6541,0,66,2026-08-21 23:07:23
ABLATION_THROUGHPUT_ONLY,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,55.00,36.38,68.75,4.00,0,0,0.6541,0,51,2026-08-21 23:07:23
ABLATION_THROUGHPUT_ONLY,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,50.00,18.19,70.25,0.00,0,0,0.6711,0,51,2026-08-21 23:07:23
ABLATION_THROUGHPUT_ONLY,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,50.00,18.94,71.25,0.00,0,0,0.6711,0,38,2026-08-21 23:07:24
HYBRID_PRIORITY_CP_SAT,BASELINE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,62,2026-08-21 23:07:22
HYBRID_PRIORITY_CP_SAT,BASELINE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,73,2026-08-21 23:07:22
HYBRID_PRIORITY_CP_SAT,BASELINE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,55.00,35.25,68.75,0.00,0,0,0.6541,0,81,2026-08-21 23:07:22
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,50.00,2.12,6.00,0.83,0,0,0.6711,0,52,2026-08-21 23:07:25
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,50.00,2.12,6.00,0.83,0,0,0.6711,0,55,2026-08-21 23:07:26
ABLATION_NO_PRIORITY,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,50.00,2.12,6.00,0.83,0,0,0.6711,0,43,2026-08-21 23:07:26
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,55.00,19.06,71.75,1.50,0,0,0.6541,0,51,2026-08-21 23:07:26
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,55.00,19.31,71.75,1.83,0,0,0.6541,0,55,2026-08-21 23:07:26
ABLATION_NO_WAITING,EMERGENCY_SURGE,10,3,44,CP_SAT_V1,OPTIMAL,4,6,55.00,19.06,71.75,1.50,0,0,0.6541,0,64,2026-08-21 23:07:26
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,1,42,CP_SAT_V1,OPTIMAL,4,6,55.00,20.06,68.75,2.00,0,0,0.6541,0,50,2026-08-21 23:07:26
ABLATION_THROUGHPUT_ONLY,EMERGENCY_SURGE,10,2,43,CP_SAT_V1,OPTIMAL,4,6,55.00,20.06,68.75,2.00,0,0,0.6541,0,37,2026-08-21 23:07:26
